id	wa_code	sku	title_en	missing
7010	BF-58437	NULL	Joyroom JR-QP192 20000mAh 22.5W fast charging powerbank with	no_short_desc_ar_en, no_long_desc_ar, no_gender
7011	BF-58441	NULL	Joyroom JR-QP191 22.5W Power Bank 10000mAh With Large Digita	no_short_desc_ar_en, no_long_desc_ar, no_gender
7012	BF-58445	NULL	Joyroom Wired Power Bank , 10000 mAh 3 Ports , Black , JR-PB	no_short_desc_ar_en, no_long_desc_ar, no_gender
7014	BF-58454	NULL	Joyroom S-IW008 3-in-1 iP Watch Magnetic Charger+Lightning+T	no_short_desc_ar_en, no_long_desc_ar, no_gender
7015	BF-58459	NULL	Joyroom JR-TCL06 67W GaN Charger with Retractable Cable (Fol	no_short_desc_ar_en, no_long_desc_ar, no_gender
7016	BF-58466	NULL	Joyroom JR-TCF02 PD 20W Mini Intelligent EU Fast Charger wit	no_short_desc_ar_en, no_long_desc_ar, no_gender
7017	BF-58471	NULL	Joyroom GaN Ultra TCG01 65W 2C1A Fast Charger-Black+100W C t	no_short_desc_ar_en, no_long_desc_ar, no_gender
7018	BF-58477	NULL	Joyroom JR-TCM02 65W European Regulation Multi-Port Charger,	no_short_desc_ar_en, no_long_desc_ar, no_gender
7019	BF-58481	NULL	Joyroom JR-TCF21 20W A+C Dual-Port Charger, White	no_short_desc_ar_en, no_long_desc_ar, no_gender
7020	BF-58486	NULL	Joyroom JR-TCF20 PD20W Charger, White	no_short_desc_ar_en, no_long_desc_ar, no_gender
7021	BF-58502	NULL	JOYROOM JR-TCF20 PD20W Charger EU black	no_short_desc_ar_en, no_long_desc_ar, no_gender
7022	BF-58506	NULL	Joyroom JR-TCF02 PD 20W mini Charger-White -EU-+C-to L Cable	no_short_desc_ar_en, no_long_desc_ar, no_gender
7023	BF-58509	NULL	Joyroom JR-TCF23 25W Charger, Black	no_short_desc_ar_en, no_long_desc_ar, no_gender
7024	BF-58515	NULL	Joyroom Jr-Tcg13 45W Gan Usb-C Charger	no_short_desc_ar_en, no_long_desc_ar, no_gender
7025	BF-58526	NULL	Joyroom JR-TCG08 PD 20W Fast Charging GaN Charger Mini Power	no_short_desc_ar_en, no_long_desc_ar, no_gender
7027	BF-58534	NULL	Joyroom JR-TCF14 Charger 20W A+C Super Slim - White	no_short_desc_ar_en, no_long_desc_ar, no_gender
7030	BF-58547	NULL	Joyroom Prism Series 100W Type-C to Type-C Digital Display F	no_short_desc_ar_en, no_long_desc_ar, no_gender
7031	BF-58553	NULL	Joyroom Prism Series 66 W Type-C to Type-C Digital Display F	no_short_desc_ar_en, no_long_desc_ar, no_gender
7032	BF-58554	NULL	Joyroom Prism Series 3 A Type-C to Type-C Digital Display Fa	no_short_desc_ar_en, no_long_desc_ar, no_gender
7033	BF-58556	NULL	JOYROOM S-A56 1.2m USB-A to Type-C Elbow 3A Fast Charging Ca	no_short_desc_ar_en, no_long_desc_ar, no_gender
7034	BF-58561	NULL	JOYROOM S-A56 1.2m USB-A to Type-C Elbow 30 W Fast Charging 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7035	BF-58562	NULL	JOYROOM S-A56 1.2m USB-A to Type-C Elbow 60 W Fast Charging 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7036	BF-58563	NULL	JOYROOM S-A56 1.2m USB-A to Type-C Elbow 3A W Fast Charging 	no_short_desc_ar_en, no_long_desc_ar, no_gender
7039	BF-58570	NULL	JOYROOM S-A55 StarFlight Series 3A USB to 8 Pin Auto Power-O	no_short_desc_ar_en, no_long_desc_ar, no_gender
7040	BF-58574	NULL	JOYROOM S-A55 StarFlight Series 66w USB to 8 Pin Auto Power-	no_short_desc_ar_en, no_long_desc_ar, no_gender
7041	BF-58578	NULL	Joyroom S-A42 Crystal-Clear Series 60W Type-C to Type-C Fast	no_short_desc_ar_en, no_long_desc_ar, no_gender
7042	BF-58581	NULL	Joyroom S-A42 Crystal-Clear Series 60W Type-C to Type-C Fast	no_short_desc_ar_en, no_long_desc_ar, no_gender
7043	BF-58585	NULL	Joyroom S-A42 Crystal-Clear Series 30W Type-C to Type-C Fast	no_short_desc_ar_en, no_long_desc_ar, no_gender
7044	BF-58587	NULL	Joyroom S-A42 Crystal-Clear Series 30W Type-C to Type-C Fast	no_short_desc_ar_en, no_long_desc_ar, no_gender
