verdict	product_id	wa_code	price_list_model	title_or_item
woo_MATCHED	7006	BF-58415	JR-PBM02	JR-PBM02 22.5W 3in1 magnetic mobile power bank 10000mAh black
woo_MATCHED	7009	BF-58431	JR-QP193	30000 mAh 30000 mAH Power Bank 22.5W PD QC3.0 AFC (JR-QP193) - Black
woo_NO_MATCH	7010	BF-58437		Joyroom JR-QP192 20000mAh 22.5W fast charging powerbank with LCD display
woo_NO_MATCH	7011	BF-58441		Joyroom JR-QP191 22.5W Power Bank 10000mAh With Large Digital Display Supports PD3.0;QC3.0
woo_MATCHED	7012	BF-58445	JR-PBF12	Joyroom Wired Power Bank ; 10000 mAh 3 Ports ; Black ; JR-PBF12
woo_MATCHED	7013	BF-58450	JR-PR1	10000 mAh JR-PR1 22.5W Elva Series Mini Power Bank With Built-in Retractable Cable - 10000mAh Black
woo_NO_MATCH	7014	BF-58454		Joyroom S-IW008 3-in-1 iP Watch Magnetic Charger+Lightning+Type-C cable USB-A 1.2m-
woo_NO_MATCH	7015	BF-58459		Joyroom JR-TCL06 67W GaN Charger with Retractable Cable (Foldable Plug)-
woo_NO_MATCH	7016	BF-58466		Joyroom JR-TCF02 PD 20W Mini Intelligent EU Fast Charger with C to C Cable
woo_NO_MATCH	7017	BF-58471		Joyroom GaN Ultra TCG01 65W 2C1A Fast Charger-Black+100W C to C Cable 1.2m
woo_NO_MATCH	7018	BF-58477		Joyroom JR-TCM02 65W European Regulation Multi-Port Charger; Dark Gray
woo_NO_MATCH	7019	BF-58481		Joyroom JR-TCF21 20W A+C Dual-Port Charger; White
woo_MATCHED	7020	BF-58486	JR-TCF20	Joyroom JR-TCF20 PD20W Charger; White
woo_MATCHED	7021	BF-58502	JR-TCF20	JOYROOM JR-TCF20 PD20W Charger EU black
woo_NO_MATCH	7022	BF-58506		Joyroom JR-TCF02 PD 20W mini Charger-White -EU-+C-to L Cable 1m
woo_MATCHED	7023	BF-58509	JR-TCF23	Joyroom JR-TCF23 25W Charger; Black
woo_MATCHED	7024	BF-58515	JR-TCG13	Joyroom Jr-Tcg13 45W Gan Usb-C Charger
woo_NO_MATCH	7025	BF-58526		Joyroom JR-TCG08 PD 20W Fast Charging GaN Charger Mini Power Adapter; EU Plug
woo_MATCHED	7026	BF-58530	JR-TCG18	JR-TCG18 65W PD Charger EU/UK-Black
woo_NO_MATCH	7027	BF-58534		Joyroom JR-TCF14 Charger 20W A+C Super Slim - White
woo_NO_MATCH	7028	BF-58540		JR-TCF12 20W Dual-Port (2C) Charger-White (EU)
woo_NO_MATCH	7030	BF-58547		Joyroom Prism Series 100W Type-C to Type-C Digital Display Fast Charging Data Cable 1.2m S-CC100A16
woo_NO_MATCH	7031	BF-58553		Joyroom Prism Series 66 W Type-C to Type-C Digital Display Fast Charging Data Cable 1.2m S-CC100A16
woo_NO_MATCH	7032	BF-58554		Joyroom Prism Series 3 A Type-C to Type-C Digital Display Fast Charging Data Cable 1.2m S-CC100A16
woo_NO_MATCH	7033	BF-58556		JOYROOM S-A56 1.2m USB-A to Type-C Elbow 3A Fast Charging Cable Data Transfer Braided Cord - Black
woo_NO_MATCH	7034	BF-58561		JOYROOM S-A56 1.2m USB-A to Type-C Elbow 30 W Fast Charging Cable Data Transfer Braided Cord - Black
woo_NO_MATCH	7035	BF-58562		JOYROOM S-A56 1.2m USB-A to Type-C Elbow 60 W Fast Charging Cable Data Transfer Braided Cord - Black
woo_NO_MATCH	7036	BF-58563		JOYROOM S-A56 1.2m USB-A to Type-C Elbow 3A W Fast Charging Cable Data Transfer Braided Cord - Black
woo_NO_MATCH	7039	BF-58570		JOYROOM S-A55 StarFlight Series 3A USB to 8 Pin Auto Power-Off Fast Charging Data Cable; Length:1.2m(Black)
woo_NO_MATCH	7040	BF-58574		JOYROOM S-A55 StarFlight Series 66w USB to 8 Pin Auto Power-Off Fast Charging Data Cable; Length:1.2m(Black)
woo_MATCHED	7041	BF-58578	S-A42	Joyroom S-A42 Crystal-Clear Series 60W Type-C to Type-C Fast Charging Data Cable;
woo_MATCHED	7042	BF-58581	S-A42	Joyroom S-A42 Crystal-Clear Series 60W Type-C to Type-C Fast Charging Data Cable
woo_MATCHED	7043	BF-58585	S-A42	Joyroom S-A42 Crystal-Clear Series 30W Type-C to Type-C Fast Charging Data Cable
woo_MATCHED	7044	BF-58587	S-A42	Joyroom S-A42 Crystal-Clear Series 30W Type-C to Type-C Fast Charging Data Cable
woo_MATCHED	7045	BF-58589	S-A42	Joyroom S-A42 Crystal-Clear Series 3A Type-C to Type-C Fast Charging Data Cable
woo_MATCHED	7046	BF-58592	S-A42	Joyroom S-A42 Crystal-Clear Series 3AW Type-C to Type-C Fast Charging Data Cable
woo_NO_MATCH	7047	BF-58594		Joyroom SA32-CC3 Starry Series 60W Fast Charging Data Cable (Type-C to Type-C) 1m-Black
woo_NO_MATCH	7048	BF-58597		JOYROOM USB-C to USB-C CABLE 60W LONG LASTING SERIES 1M BLACK S-A9
woo_NO_MATCH	7053	BF-58606		JOYROOM S-A28 Flash Series 60W Fast Charging Data Cable
woo_NO_MATCH	7054	BF-58611		JOYROOM S-A28 Flash Series 60W Fast Charging Data Cable
woo_NO_MATCH	7056	BF-58630		JOYROOM SA26-AC3 Flash Charge Series 3A
woo_MATCHED	7057	BF-58632	JR-ZS368	Joyroom cable organiser JR-ZS368 magnetic black
woo_NO_MATCH	7062	BF-58647		JOYROOM S-A53 Fluorescent Series 3A Fast Charging Data Cable
woo_NO_MATCH	7063	BF-58651		JOYROOM Series A14 USB-C to USB-C 60W Cable | S-A14
woo_NO_MATCH	7064	BF-58654		Joyroom Multi-Color Series A14 3A
woo_NO_MATCH	7065	BF-58657		Joyroom S-UC027A11 Surpass Series 3A
woo_NO_MATCH	7066	BF-58660		Joyroom USB Cable - Surpass Series 30W Fast Charging Braided
woo_MATCHED	7067	BF-58663	S-H151	Joyroom S-H151 Adapter Type-C Male to USB - Silver
woo_MATCHED	7068	BF-58669	S-H151	Joyroom S-H151 Adapter Type-C Male to USB black
woo_NO_MATCH	7069	BF-58687		JR-FN3 ANC+ENC True Wireless Bluetooth Earphones Black
woo_NO_MATCH	7070	BF-58690		Joyroom JR-T03S Pro ANC-3rd Generation Luda version Normal Quality TWS Bluetooth Headset
woo_NO_MATCH	7071	BF-58694		Joyroom JR-T03S PRO MAX Wireless Bluetooth Earphone
woo_NO_MATCH	7072	BF-58698		Joyroom JR-JH1 Headphones Hybrid ANC Wireless
woo_NO_MATCH	7073	BF-58703		JR-EW01 3.5Mm Wired Series Half In-Ear Earphones White
woo_NO_MATCH	7074	BF-58706		JR-EW02 Wired Series Half In-Ear Wired Earphones Black
woo_MATCHED	7075	BF-58709	JR-EW03	JOYROOM JR-EW03 3.5mm In-Ear Metal Wired Earphone; Length: 1.2m white
woo_NO_MATCH	7076	BF-58712		JR-ZS285 Car Phone Holder -Dashboard- -Black
woo_MATCHED	7077	BF-58715	JR-ZS284	JR-ZS284 Car phone holder black
