id	wa_code	import_ref	family	brand	selling_price	in_stock	title_en
7006	BF-58415	woo:58415	electronics	generic	2000.00	0	JR-PBM02 22.5W 3in1 magnetic mobile power bank 10000mAh black
7009	BF-58431	woo:58431	electronics	generic	1500.00	0	30000 mAh 30000 mAH Power Bank 22.5W PD QC3.0 AFC (JR-QP193) - Black
7010	BF-58437	woo:58437	electronics	generic	1500.00	0	Joyroom JR-QP192 20000mAh 22.5W fast charging powerbank with LCD display
7011	BF-58441	woo:58441	electronics	generic	1000.00	0	Joyroom JR-QP191 22.5W Power Bank 10000mAh With Large Digital Display Supports PD3.0;QC3.0
7012	BF-58445	woo:58445	electronics	generic	1000.00	0	Joyroom Wired Power Bank ; 10000 mAh 3 Ports ; Black ; JR-PBF12
7013	BF-58450	woo:58450	electronics	generic	1500.00	0	10000 mAh JR-PR1 22.5W Elva Series Mini Power Bank With Built-in Retractable Cable - 10000mAh Black
7014	BF-58454	woo:58454	electronics	generic	1000.00	0	Joyroom S-IW008 3-in-1 iP Watch Magnetic Charger+Lightning+Type-C cable USB-A 1.2m-
7015	BF-58459	woo:58459	electronics	generic	1500.00	0	Joyroom JR-TCL06 67W GaN Charger with Retractable Cable (Foldable Plug)-
7016	BF-58466	woo:58466	electronics	generic	800.00	0	Joyroom JR-TCF02 PD 20W Mini Intelligent EU Fast Charger with C to C Cable
7017	BF-58471	woo:58471	electronics	generic	1500.00	0	Joyroom GaN Ultra TCG01 65W 2C1A Fast Charger-Black+100W C to C Cable 1.2m
7018	BF-58477	woo:58477	electronics	generic	1800.00	0	Joyroom JR-TCM02 65W European Regulation Multi-Port Charger; Dark Gray
7019	BF-58481	woo:58481	electronics	generic	850.00	0	Joyroom JR-TCF21 20W A+C Dual-Port Charger; White
7020	BF-58486	woo:58486	electronics	generic	850.00	0	Joyroom JR-TCF20 PD20W Charger; White
7021	BF-58502	woo:58502	electronics	generic	850.00	0	JOYROOM JR-TCF20 PD20W Charger EU black
7022	BF-58506	woo:58506	electronics	generic	850.00	0	Joyroom JR-TCF02 PD 20W mini Charger-White -EU-+C-to L Cable 1m
7023	BF-58509	woo:58509	electronics	generic	850.00	0	Joyroom JR-TCF23 25W Charger; Black
7024	BF-58515	woo:58515	electronics	generic	1000.00	0	Joyroom Jr-Tcg13 45W Gan Usb-C Charger
