reason	woo_id	wa_code	source_sku	name
not_imported	704		1791728-01	Men's Bennett Round 44 mm | (Ready)
not_imported	844		1791728	Men's Bennett Round 44 mm - Black - 1791728 (Ready)
not_imported	882		1791474	Tommy HIlfiger Watch For Men1791474
not_imported	891		1791723	TOMMY HILFIGER Men's Water Resistant Analog Watch 1791723
not_imported	895		1791791	Tommy Hilfiger Blue Watch for Men - Stylish Design and Water-Resistant
not_imported	896		1710383	TOMMY HILFIGERMen's Daniel Black Dial Watch 1710383
not_imported	911		1791472	Tommy HIlfiger Watch For Men  1791472
not_imported	912		1791401	Tommy Hilfiger Watch For Men  1791401
not_imported	926		1791707	Tommy HIlfiger Watch For Men  1791707
not_imported	934		1791788	Tommy HIlfiger Watch For Men  1791788
not_imported	935		1791718	Tommy HIlfiger Watch For Men 1791718
not_imported	936		1710448	Tommy HIlfiger Watch For Men-1710448
not_imported	937		1791241	TOMMY HILFIGERMen's Analog Watch 1791241
not_imported	943		1791837	Tommy HIlfiger Watch For Men -1791837
not_imported	951		1791398	Tommy HIlfiger Watch For Men  1791398
not_imported	953		1791350	Tommy HIlfiger Watch For Men 1791350
not_imported	1546		1710451	TOMMY HILFIGER Men's Leather Analog Watch
not_imported	1563		DZ4477	DIESELMen's Stainless Steel Analog Wrist Watch DZ4477
not_imported	1566		DZ7314	DIESELMen's Water Resistant Chronograph Watch DZ7314
not_imported	1568		DZ4364	DIESELMen's Chronograph Wrist Watch DZ4364
not_imported	1569		DZ4282	DIESELMen's Mega Chief Round Shape Stainless Steel Chronograph Wrist W
not_imported	1571		DZ4329	DIESELMen's Mega Chief Round Shape Stainless Steel Chronograph Wrist W
not_imported	1577		DZ7375	DIESELMen's Water Resistant Chronograph Watch Dz7375
not_imported	1580		DZ1719	DIESELMen's Water Resistant Analog Watch DZ1719
not_imported	1587		DZ4460	DIESEL Men's Mega Chief Black Dial Leather Band Watch DZ4460
not_imported	1665		1791722	Tommy HIlfiger Watch For Men 1791722
not_imported	1667		1791555	Tommy HIlfiger Watch For Men 1791555
not_imported	1668		1791476	Tommy HIlfiger Watch For Men 1791476
not_imported	1726		1710401	Tommy Hilfiger Watch For Men 1710401
not_imported	1737		1710414	Tommy HIlfiger Watch For Men  1710414
not_imported	1743		1791631	Tommy HIlfiger Watch For Men  1791631
not_imported	2548		1710417	TOMMY HILFIGER Men's Daniel Black Dial Watch
not_imported	2555		1791712	Tommy HIlfiger Watch For Men 1710418
not_imported	2556		1791778	Tommy HIlfiger  Watch For Men  1791778
not_imported	2557		1791558	Tommy HIlfiger Watch For Men  1791558
not_imported	2564		R8873612002	Maserati Watch For MenR8873612002
not_imported	2565		R8873640002	Maserati Watch For MenR8873640002
not_imported	2566		R8871637002	Maserati Watch For MenR8871637002
not_imported	2567		R8871627004	Maserati Watch For Men R8871627004
not_imported	2570		R8873633003	Maserati Watch For Men  R8873633003
not_imported	2583		R8851108027	Maserati Watch For Men R8851108027
not_imported	2589		R8871618007	Maserati Men's Leather Analog Watch R8871618007
not_imported	2590		R8853140001	Maserati Men's Stainless Steel Analog Wrist Watch R8853140001
not_imported	2593		R8871612028	Maserati Men's Traguardo Chronograph Watch R8871612028
not_imported	2604		1710452	TOMMY HILFIGER Men's Leather Analog Watch
not_imported	2609		1791538	TOMMY HILFIGER Men's Water Resistant Analog Watch
not_imported	2615		R8851121004	Maserati Men's Leather Analog Watch R8851121004
not_imported	2617		Mf0198G	MINI FOCUS Men's Stainless Steel Analog Quartz Wristwatch Mf0198G
not_imported	2620		Mf0333L	MINI FOCUS Women's Metal Analog Watch Mf0333L
not_imported	2623		Mf0037L.03	MINI FOCUS Women's Metal Analog Watch Mf0037L.03
not_imported	2624		Mf0230G-02	MINI FOCUS Men's Stainless Steel Analog Wrist Watch Mf0230G-02
not_imported	2637		1791464	TOMMY HILFIGER Men's Synthetic Analog Watch
not_imported	2649		MF0031L	Generic Girls' Alloy Chronograph Watch MF0031L
not_imported	2650		Mf0189L.04	MINI FOCUS Women's Metal Analog Watch Mf0189L.04
not_imported	2651		Mf0235L	MINI FOCUS Women's Stainless Steel Analog Watch Mf0235L
not_imported	2652		MF0120L.01	MINI FOCUS Women's Water Resistant Analog Watch MF0120L.01
not_imported	2657		Mf0120L.03	MINI FOCUS Women's Metal Analog Watch Mf0120L.03
not_imported	2658		Mf0367L	MINI FOCUS Women's Stainless Steel Analog Watch Mf0367L
not_imported	2659		MF0218G.02	MINI FOCUS Men's Stainless Steel Chronograph Clasp Watch MF0218G.02
not_imported	2660		MF0135G.10	MINI FOCUS Men's Casual Analog Wrist Watch With Date Display MF0135G.1
not_imported	2661		MF0018G-04	MINI FOCUS Men's Water Resistant Analog Watch MF0018G-04
not_imported	2704		1791399	Tommy HIlfiger Watch For Men 1791399
not_imported	2711		MF0218G-01	MINI FOCUS Men's Stainless Steel Chronograph Clasp Watch MF0218G-01
not_imported	2712		MF0035G	Generic Men's Leather Chronograph Watch MF0035G
not_imported	2713		MF0263L.03	MINI FOCUS Women's Water Resistant Analog Watch MF0263L.03
not_imported	2859		AR1828	Emporio Armani Watch  For Men AR1828
not_imported	3361		1513861	Hugo Boss Watch For Men  1513861
not_imported	3399		1513174	HUGO BOSSMen's Analog Leather Wrist Watch 1513174
not_imported	3416		1513814	Hugo Boss Watch For Men 1513814
not_imported	3425		1512961	"HUGO
Men's Chronograph Ionic Plated Steel Strap Quartz Watch 1512961"
not_imported	3460		1513581	Hugo Boss Watch For Men 1513581
not_imported	3464		1513762	Hugo Boss  Watch For Men 1513762
not_imported	3480		AR2448	"EMPORIO ARMANI
Men's Stainless Steel Chronograph Watch AR2448"
not_imported	3481		AR1808	"EMPORIO ARMANI
Men's Stainless Steel Analog Watch AR1808"
not_imported	3484		AR2470	"EMPORIO ARMANI
Men's Leather Analog Watch AR2470"
not_imported	3485		AR2461	"EMPORIO ARMANI
Men's Sportivo Analog Watch AR2461"
not_imported	3486		AR11306	"EMPORIO ARMANI
Men's Analog Stainless Steel Wrist Watch AR11306"
not_imported	3487		AR1948	"EMPORIO ARMANI
Men's Leather Analog Watch AR1948"
not_imported	3488		AR80041	Emporio Armani Black Stainless Steel Mesh Watch AR80041
not_imported	3492		AR11165	"EMPORIO ARMANI
Men's Metal Analog Wrist Watch AR11165"
not_imported	3496		AR1635	"EMPORIO ARMANI
Men's Stainless Steel Classic Watch AR1635"
not_imported	3503		AR80038	"EMPORIO ARMANI
Men's Luigi Chronograph Watch With Bracelet AR80038"
not_imported	3511		AR11144	"EMPORIO ARMANI
Men's Analog Watch AR11144"
not_imported	3517		AR1894	"EMPORIO ARMANI
Men's Chronograph Quartz Watch AR1894"
not_imported	3519		AR11165	"EMPORIO ARMANI
Men's Metal Analog Wrist Watch AR11165"
not_imported	3527		AR6072	Emporio Armani Watch For Men AR6072
not_imported	3529		AR1735	"EMPORIO ARMANI
Men's Rubber Analog Watch AR1735"
not_imported	3530		AR11018	Emporio Armani Watch For Men AR11018
not_imported	3533		AR11105	"EMPORIO ARMANI
Men's Avitor Chronograph Wrist Watch AR11105"
not_imported	3534		AR8032	"EMPORIO ARMANI
Men's Analog Wrist Watch AR8032"
not_imported	3536		AR11242	EMPORIO ARMANIMen's Mario Stainless Steel Chronograph Watch AR11242
not_imported	3553		AR11104	Emporio Armani Watch For Men AR11104
not_imported	3555		0	EMPORIO ARMANIMen's Aviator Water Resistant Chronograph Watch AR11142
